Nama Sukuk,Nilai Nominal,Interest/ Disc rate,Listing Date,Mature Date
SUKUK MUDHARABAH BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP I TAHUN 2022 SERI B,"401,430,000,000",9.5,8 Aug 2022,5 Aug 2025
SUKUK MUDHARABAH BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP I TAHUN 2022 SERI C,"222,710,000,000",10.0,8 Aug 2022,5 Aug 2027
SUKUK MUDHARABAH BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP II TAHUN 2022 SERI A,"481,060,000,000",6.0,12 Oct 2022,21 Oct 2023
SUKUK MUDHARABAH BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP II TAHUN 2022 SERI B,"455,190,000,000",9.75,12 Oct 2022,11 Oct 2025
SUKUK MUDHARABAH BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP II TAHUN 2022 SERI C,"69,375,000,000",10.25,12 Oct 2022,11 Oct 2027
SUKUK MUDHARABAH BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP IV TAHUN 2023 SERI A,"106,885,000,000",7.0,30 Jan 2023,7 Feb 2024
SUKUK MUDHARABAH BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP IV TAHUN 2023 SERI B,"501,585,000,000",10.5,30 Jan 2023,27 Jan 2026
SUKUK MUDHARABAH BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP IV TAHUN 2023 SERI C,"67,040,000,000",11.0,30 Jan 2023,27 Jan 2028
SUKUK MUDHARABAH BERKELANJUTAN II PEGADAIAN TAHAP I TAHUN 2022 SERI A,"671,000,000,000",3.6,27 Apr 2022,6 May 2023
SUKUK MUDHARABAH BERKELANJUTAN II PEGADAIAN TAHAP I TAHUN 2022 SERI B,"320,000,000,000",5.35,27 Apr 2022,26 Apr 2025
SUKUK MUDHARABAH BERKELANJUTAN II PEGADAIAN TAHAP II TAHUN 2022 SERI A,"878,000,000,000",6.9299,18 Aug 2022,16 Aug 2023
SUKUK MUDHARABAH BERKELANJUTAN II PEGADAIAN TAHAP II TAHUN 2022 SERI B,"245,000,000,000",10.0878,18 Aug 2022,16 Aug 2025
SUKUK MUDHARABAH BERKELANJUTAN II PEGADAIAN TAHAP III TAHUN 2023,"605,000,000,000",5.8,19 Jun 2023,26 Jun 2024
SUKUK MUDHARABAH BERKELANJUTAN II PEGADAIAN TAHAP IV TAHUN 2023,"235,040,000,000",5.9,25 Aug 2023,24 Aug 2026
SUKUK MUDHARABAH BERKELANJUTAN II WIJAYA KARYA TAHAP I TAHUN 2021 SERI A,"325,500,000,000",8.25,9 Sep 2021,8 Sep 2024
SUKUK MUDHARABAH BERKELANJUTAN II WIJAYA KARYA TAHAP I TAHUN 2021 SERI B,"91,500,000,000",8.55,9 Sep 2021,8 Sep 2026
SUKUK MUDHARABAH BERKELANJUTAN II WIJAYA KARYA TAHAP I TAHUN 2021 SERI C,"333,000,000,000",9.25,9 Sep 2021,8 Sep 2028
SUKUK MUDHARABAH BERKELANJUTAN II WIJAYA KARYA TAHAP II TAHUN 2022 SERI A,"412,900,000,000",6.5,21 Feb 2022,18 Feb 2025
SUKUK MUDHARABAH BERKELANJUTAN II WIJAYA KARYA TAHAP II TAHUN 2022 SERI B,"176,050,000,000",7.75,21 Feb 2022,18 Feb 2027
SUKUK MUDHARABAH BERKELANJUTAN II WIJAYA KARYA TAHAP II TAHUN 2022 SERI C,"161,050,000,000",8.3,21 Feb 2022,18 Feb 2029
SUKUK MUDHARABAH BERKELANJUTAN III ADIRA FINANCE TAHAP II TAHUN 2018 SERI C,"29,000,000,000",7.4,22 Mar 2018,21 Mar 2023
SUKUK MUDHARABAH BERKELANJUTAN III ADIRA FINANCE TAHAP III TAHUN 2019 SERI C,"32,000,000,000",9.5,23 Jan 2019,23 Jan 2024
SUKUK MUDHARABAH BERKELANJUTAN III ADIRA FINANCE TAHAP IV TAHUN 2019 SERI C,"14,000,000,000",9.15,18 Apr 2019,16 Apr 2024
SUKUK MUDHARABAH BERKELANJUTAN III INDAH KIAT PULP & PAPER TAHAP III TAHUN 2023 SERI A,"87,210,000,000",6.75,22 Nov 2023,1 Dec 2024
SUKUK MUDHARABAH BERKELANJUTAN III INDAH KIAT PULP & PAPER TAHAP III TAHUN 2023 SERI B,"303,560,000,000",10.25,22 Nov 2023,21 Nov 2026
SUKUK MUDHARABAH BERKELANJUTAN III INDAH KIAT PULP & PAPER TAHAP III TAHUN 2023 SERI C,"4,520,000,000",10.75,22 Nov 2023,21 Nov 2028
SUKUK MUDHARABAH BERKELANJUTAN INDONESIA EXIMBANK I TAHAP II TAHUN 2018 SERI C,"14,000,000,000",9.25,9 Nov 2018,8 Nov 2023
SUKUK MUDHARABAH BERKELANJUTAN INDONESIA EXIMBANK I TAHAP II TAHUN 2018 SERI D,"155,000,000,000",9.75,9 Nov 2018,8 Nov 2025
SUKUK MUDHARABAH BERKELANJUTAN INDONESIA EXIMBANK I TAHAP III TAHUN 2019 SERI C,"66,000,000,000",8.9,24 Apr 2019,23 Apr 2024
SUKUK MUDHARABAH BERKELANJUTAN IV ADIRA FINANCE TAHAP II TAHUN 2021 SERI B,"66,000,000,000",5.5,23 Jul 2021,23 Jul 2024
SUKUK MUDHARABAH BERKELANJUTAN IV ADIRA FINANCE TAHAP III TAHUN 2022 SERI A,"153,000,000,000",3.5,23 Mar 2022,22 Mar 2023
SUKUK MUDHARABAH BERKELANJUTAN IV ADIRA FINANCE TAHAP III TAHUN 2022 SERI B,"49,000,000,000",5.6,23 Mar 2022,22 Mar 2025
SUKUK MUDHARABAH BERKELANJUTAN IV ADIRA FINANCE TAHAP III TAHUN 2022 SERI C,"98,000,000,000",6.25,23 Mar 2022,22 Mar 2027
SUKUK MUDHARABAH BERKELANJUTAN V ADIRA FINANCE TAHAP II TAHUN 2023 SERI A,"251,170,000,000",6.15,10 Nov 2023,19 Nov 2024
SUKUK MUDHARABAH BERKELANJUTAN V ADIRA FINANCE TAHAP II TAHUN 2023 SERI B,"48,730,000,000",6.5,10 Nov 2023,9 Nov 2026
SUKUK MUDHARABAH BERKELANJUTAN V ADIRA FINANCE TAHAP II TAHUN 2023 SERI C,"100,000,000",6.55,10 Nov 2023,9 Nov 2028
SUKUK MUDHARABAH I PINDO DELI PULP AND PAPER MILLS TAHUN 2022 SERI A,"413,570,000,000",6.75,15 Jul 2022,14 Jul 2023
SUKUK MUDHARABAH I PINDO DELI PULP AND PAPER MILLS TAHUN 2022 SERI B,"436,055,000,000",10.25,15 Jul 2022,14 Jul 2025
SUKUK MUDHARABAH I PINDO DELI PULP AND PAPER MILLS TAHUN 2022 SERI C,"150,375,000,000",11.0,15 Jul 2022,14 Jul 2027
SUKUK MUDHARABAH I WASKITA KARYA TAHUN 2022 SERI A,"383,000,000,000",6.35,13 May 2022,12 May 2027
SUKUK MUDHARABAH I WASKITA KARYA TAHUN 2022 SERI B,"765,100,000,000",7.55,13 May 2022,12 May 2025
SUKUK MUDHARABAH II OKI PULP & PAPER MILLS TAHUN 2022 SERI A,"627,000,000,000",6.75,7 Nov 2022,14 Nov 2023
SUKUK MUDHARABAH II OKI PULP & PAPER MILLS TAHUN 2022 SERI B,"255,185,000,000",10.5,7 Nov 2022,4 Nov 2025
SUKUK MUDHARABAH II OKI PULP & PAPER MILLS TAHUN 2022 SERI C,"3,675,000,000",11.0,7 Nov 2022,4 Nov 2027
SUKUK MUDHARABAH II PINDO DELI PULP AND PAPER MILLS TAHUN 2023 SERI A,"450,985,000,000",8.25,4 Jan 2024,13 Jan 2025
SUKUK MUDHARABAH II PINDO DELI PULP AND PAPER MILLS TAHUN 2023 SERI B,"447,520,000,000",10.75,4 Jan 2024,3 Jan 2027
SUKUK MUDHARABAH II PINDO DELI PULP AND PAPER MILLS TAHUN 2023 SERI C,"101,495,000,000",11.25,4 Jan 2024,3 Jan 2029
SUKUK MUDHARABAH OKI PULP & PAPER MILLS I TAHUN 2021 SERI B,"234,605,000,000",9.5,9 Jul 2021,8 Jul 2024
SUKUK MUDHARABAH OKI PULP & PAPER MILLS I TAHUN 2021 SERI C,"65,360,000,000",10.25,9 Jul 2021,8 Jul 2026
SUKUK MUSYARAKAH BERKELANJUTAN I SARANA MULTIGRIYA FINANSIAL TAHAP I TAHUN 2023,"170,500,000,000",6.05,13 Jul 2023,12 Jul 2028
SUKUK MUSYARAKAH BERWAWASAN SOSIAL BERKELANJUTAN I SARANA MULTIGRIYA FINANSIAL TAHAP I TAHUN 2023,"200,000,000,000",6.9,27 Dec 2023,22 Dec 2028
SUKUK WAKALAH BERKELANJUTAN I MEDCO POWER INDONESIA TAHAP I TAHUN 2022 SERI A,"280,000,000,000",8.0,5 Aug 2022,4 Aug 2025
SUKUK WAKALAH BERKELANJUTAN I MEDCO POWER INDONESIA TAHAP I TAHUN 2022 SERI B,"220,000,000,000",9.25,5 Aug 2022,4 Aug 2027
SUKUK WAKALAH BERKELANJUTAN I MEDCO POWER INDONESIA TAHAP II TAHUN 2022 SERI A,"469,690,000,000",9.0,2 Jan 2023,30 Dec 2025
SUKUK WAKALAH BERKELANJUTAN I MEDCO POWER INDONESIA TAHAP II TAHUN 2022 SERI B,"130,310,000,000",9.5,2 Jan 2023,30 Dec 2027
SUKUK WAKALAH BERKELANJUTAN I MNC ENERGY INVESTMENTS TAHAP I TAHUN 2023 SERI A,"100,000,000,000",10.75,9 Oct 2023,16 Oct 2024
SUKUK WAKALAH BERKELANJUTAN I MNC ENERGY INVESTMENTS TAHAP I TAHUN 2023 SERI B,"49,300,000,000",11.25,9 Oct 2023,6 Oct 2026
SUKUK WAKALAH BERKELANJUTAN I MNC ENERGY INVESTMENTS TAHAP I TAHUN 2023 SERI C,"100,700,000,000",11.5,9 Oct 2023,6 Oct 2028
SUKUK WAKALAH BI AL-ISTITSMAR I CIMB NIAGA AUTO FINANCE TAHUN 2023 SERI A,"700,000,000,000",6.25,8 Feb 2023,18 Feb 2024
SUKUK WAKALAH BI AL-ISTITSMAR I CIMB NIAGA AUTO FINANCE TAHUN 2023 SERI B,"300,000,000,000",7.15,8 Feb 2023,8 Feb 2028
SUKUK WAKALAH MEDCO POWER INDONESIA I TAHUN 2018 SERI C,"43,000,000,000",10.75,5 Jul 2018,4 Jul 2025
SUKUK WAKALAH MEDCO POWER INDONESIA II TAHUN 2019 SERI B,"7,000,000,000",10.55,24 May 2019,23 May 2024
SUKUK WAKALAH MEDCO POWER INDONESIA II TAHUN 2019 SERI C,"10,300,000,000",11.1,24 May 2019,23 May 2026
