Nama Sukuk,Nilai Nominal,Interest/ Disc rate,Listing Date,Mature Date
SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP III TAHUN 2021 SERI C,"124,000,000,000",10.75,7 Jul 2021,6 Jul 2028
SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP IV TAHUN 2021 SERI A,"133,000,000,000",8.1,23 Dec 2021,22 Dec 2024
SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP IV TAHUN 2021 SERI B,"17,000,000,000",9.15,23 Dec 2021,22 Dec 2026
SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP V TAHUN 2022 SERI A,"118,800,000,000",7.75,6 Apr 2022,5 Apr 2025
SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP V TAHUN 2022 SERI B,"123,700,000,000",8.9,6 Apr 2022,5 Apr 2027
SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP V TAHUN 2022 SERI C,"153,500,000,000",9.75,6 Apr 2022,5 Apr 2029
SUKUK IJARAH BERKELANJUTAN II GLOBAL MEDIACOM TAHAP I TAHUN 2020 SERI B,"1,600,000,000",11.25,14 Sep 2020,11 Sep 2023
SUKUK IJARAH BERKELANJUTAN II GLOBAL MEDIACOM TAHAP I TAHUN 2020 SERI C,"430,000,000",12.0,14 Sep 2020,11 Sep 2025
SUKUK IJARAH BERKELANJUTAN II GLOBAL MEDIACOM TAHAP II TAHUN 2021 SERI B,"6,500,000,000",10.3,15 Sep 2021,14 Sep 2024
SUKUK IJARAH BERKELANJUTAN II GLOBAL MEDIACOM TAHAP II TAHUN 2021 SERI C,"50,000,000",11.0,15 Sep 2021,14 Sep 2026
SUKUK IJARAH BERKELANJUTAN II INDOSAT TAHAP I TAHUN 2017 SERI C,"60,000,000,000",8.9,2 Jun 2017,31 May 2024
SUKUK IJARAH BERKELANJUTAN II INDOSAT TAHAP I TAHUN 2017 SERI D,"63,000,000,000",9.25,2 Jun 2017,31 May 2027
SUKUK IJARAH BERKELANJUTAN II INDOSAT TAHAP II TAHUN 2017 SERI D,"13,000,000,000",7.95,10 Nov 2017,9 Nov 2024
SUKUK IJARAH BERKELANJUTAN II INDOSAT TAHAP II TAHUN 2017 SERI E,"193,000,000,000",8.65,10 Nov 2017,9 Nov 2027
SUKUK IJARAH BERKELANJUTAN II MORATELINDO TAHAP I TAHUN 2023 SERI A,"462,600,000,000",10.0,14 Jul 2023,13 Jul 2026
SUKUK IJARAH BERKELANJUTAN II MORATELINDO TAHAP I TAHUN 2023 SERI B,"25,900,000,000",11.0,14 Jul 2023,13 Jul 2028
